Comment,Designator,Footprint,LCSC
100K,R1,R_0805_2012Metric,C149504
10uF,C2,C_0805_2012Metric,C15850
3R,"R10,R22,R24,R25,R26,R27,R28,R6,R8",R_2010_5025Metric,C159239
10K,"R15,R20,R21",R_0805_2012Metric,C17414
1k,R2,R_0805_2012Metric,C17513
2K2,"R16,R17,R18",R_0805_2012Metric,C17520
510OHMS,R14,R_0805_2012Metric,C17734
180R,R5,R_0805_2012Metric,C25270
EL3H7(B)(TA)-G,U1,SOP-4_4.4x2.6mm_P1.27mm,C32565
AO3400A,Q1,SOT-23,C347475
SMBJ5.0A,D2,D_SMB,C440263
AZ432ANTR-E1,D1,SOT-23,C460576
RX Connector,"RX1,TX1",PinHeader_1x02_P2.54mm_Horizontal,C492410
100nF,C1,C_0805_2012Metric,C49678
UPDI,UPDI1,PinSocket_1x03_P2.54mm_Vertical,C5116529
CMFB103F3950FANT,R19,R_0805_2012Metric,C51597
ATTINY1624-SSU-ND,U2,SOIC-14_3.9x8.7mm_P1.27mm,C5160891
mSMD150,F1,Fuse_1812_4532Metric,C70121
Blue,D4,LED_0603_1608Metric,C72043
Red,D3,LED_0805_2012Metric,C84256
