Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,27.415,2.64,90.0,top
C2,10uF,C_0805_2012Metric,27.405,-1.28,90.0,top
D1,AZ432ANTR-E1,SOT-23,27.785,-6.56,180.0,top
D2,SMBJ5.0A,D_SMB,1.75,5.5,-90.0,top
D3,Red,LED_0805_2012Metric,62.24,-3.1,90.0,top
D4,Blue,LED_0603_1608Metric,26.325,-11.925,90.0,top
F1,mSMD150,Fuse_1812_4532Metric,-2.5,12.25,180.0,top
Q1,AO3400A,SOT-23,60.725,-11.525,180.0,top
R1,100K,R_0805_2012Metric,32.865,6.82,90.0,top
R2,1k,R_0805_2012Metric,30.735,-6.6,90.0,top
R5,180R,R_0805_2012Metric,24.225,-0.7,-90.0,top
R6,3R,R_2010_5025Metric,42.975,3.2,-90.0,top
R8,3R,R_2010_5025Metric,42.975,-3.908334,-90.0,top
R10,3R,R_2010_5025Metric,42.975,-10.55,-90.0,top
R14,510OHMS,R_0805_2012Metric,36.725,6.7,-90.0,top
R15,10K,R_0805_2012Metric,63.825,-11.5,90.0,top
R16,2K2,R_0805_2012Metric,21.625,-11.65,90.0,top
R17,2K2,R_0805_2012Metric,62.195,-6.6,90.0,top
R18,2K2,R_0805_2012Metric,23.65,-11.65,90.0,top
R19,CMFB103F3950FANT,R_0805_2012Metric,45.825,-4.4,90.0,top
R20,10KOHMS,R_0805_2012Metric,34.725,-7.112,-90.0,top
R21,10KOHMS,R_0805_2012Metric,29.525,6.9,90.0,top
R22,3R,R_2010_5025Metric,52.525,3.25,-90.0,top
R24,3R,R_2010_5025Metric,48.425,3.225,-90.0,top
R25,3R,R_2010_5025Metric,52.525,-3.858334,-90.0,top
R26,3R,R_2010_5025Metric,48.425,-3.883334,-90.0,top
R27,3R,R_2010_5025Metric,52.525,-10.5,-90.0,top
R28,3R,R_2010_5025Metric,48.425,-10.525,-90.0,top
RX1,RX Connector,PinHeader_1x02_P2.54mm_Horizontal,12.822,-5.645,-90.0,top
TX1,TX Connector,PinHeader_1x02_P2.54mm_Horizontal,12.832,8.947,90.0,top
U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,24.25,7.75,90.0,top
U2,ATTINY1624-SSU-ND,SOIC-14_3.9x8.7mm_P1.27mm,33.435,0.68,90.0,top
UPDI1,UPDI,PinSocket_1x03_P2.54mm_Vertical,33.15,-11.625,90.0,top
